Month,TotalAmount
Октябрь,1065523860.0
Ноябрь,1072033883.0
Декабрь,1083268627.0
Январь,1103915545.5
Февраль,1129023935.08
Март,1111853811.94
Апрель,1115320815.67
Июнь,1131309445.43
Июль,1197215543.72
Май,1247099349.01
Февраль,1247523024.93
Январь,1255932407.09
Февраль,1318968869.0
Сентябрь,1212037226.66
Ноябрь,1249987014.8
Декабрь,1250072335.0
Ноябрь,1248661932.0
Октябрь,1233226017.0
Август,1205424733.0
Апрель,1242811612.0
Декабрь,1258380754.0
Январь,1282372753.0
Апрель,1376249632.96
Март,1300946634.0
Май,1320926822.0
Июль,1294459975.0
Июнь,1310177657.0
Август,1289896855.0
Октябрь,1322195308.0
Ноябрь,1338087340.0
Декабрь,1346013423.63
Январь,1387503641.27
Февраль,1342359782.32
Март,1354303732.14
Июль,1361095963.83
Август,1348579151.0
Сентябрь,1339981091.29
Октябрь,1351154922.05
Ноябрь,1360154861.83
Декабрь,1390256402.39
Май,1399711506.75
Октябрь,1395232174.22
Ноябрь,1426668016.12
Декабрь,1432572227.85
Февраль,1503652101.24
Март,1501570468.92
Август,1500253073.74
Октябрь,1511403308.44
Ноябрь,1525619546.67
Декабрь,1577877750.09
Март,1680960450.37
Апрель,1679463889.27
Май,1693621275.98
Июнь,1678591457.45
Ноябрь,1740483615.58
Декабрь,1741544445.32
Август,1874717626.17
Сентябрь,1863198365.81
Октябрь,1881543094.17
Ноябрь,1884313837.22
Декабрь,1894235156.63
Июль,2157225145.28
Август,2184243305.06
Сентябрь,2175254613.15
Октябрь,2207602218.63
Ноябрь,2218136644.58
Декабрь,2259048983.0
